source_id,type,bestiary_type,title,person_id,date_created,date_display,language,influenced_by,cites,interpretation_id,source_url
source_satyr_statue,VisualArtwork,,Dancing satyr,,-99/0,1st century BCE,,,,int_satyr_statue,https://www.uffizi.it/opere/satiro-danzante
source_schedula_theophilus,LiteraryWork,,Schedula diversarum artium,person_theophilus,1001/1200,11th – 12th century,la,,,int_basilisk_theophilus,
source_septuagint,LiteraryWork,,Septuagint,,-299/-100,3rd – 2nd century BCE,grc,source_bible,,int_antlion_septuagint,
source_shrek,CinematicWork,,Shrek,person_adamson,2001,2001,en,,,int_ogre_shrek,https://www.imdb.com/it/title/tt0126029/?ref_=ext_shr_lnk
source_spirited_away,CinematicWork,,Spirited Away,person_miyazaki,2001,2001,ja,,,int_dragon_miyazaki,
source_st_Nicholas,LiteraryWork,,A Visit from St. Nicholas,person_moore,1823,1823,en,,,int_elf_moore,
source_symposium,LiteraryWork,,Symposium,person_plato,-399/-300,4th century BCE,grc,,source_teogonia,int_hermaphrodite_plato,
source_tacuinum_sanitatis,VisualArtwork,,Fructus Mandragorae in Tacuinum Sanitatis in Medicina (Vienna),,1390,1390,,,,int_mandrake_herbal,https://upload.wikimedia.org/wikipedia/commons/6/68/Tacuinum_Sanitatis_Mandrake_Dog.jpg
source_teogonia,LiteraryWork,,Toeogonia,person_esiodo,-699,700 BCE,grc,,,int_chimera_esiodo;int_giant_teogonia;int_medusa_esiodo;int_pegaso_esiodo,
source_thaon_bestiary,Bestiary,MoralAllegory,Le Bestiaire de Philippe de Thaün,person_thaon,1121/1139,1121 – 1139,fro,source_physiologus;source_etymologies,source_physiologus;source_etymologies,int_onocentaur_thaon,
source_the_hobbit,LiteraryWork,,The Hobbit,person_tolkien ,1937,1937,en,,,int_dragon_tolkien,
source_troll_hunter,CinematicWork,,Troll Hunter,person_ ovredal,2010,2010,"en, no",source_norske_folkeeventyr;source_peer_gynt,,int_troll_hunter,https://www.imdb.com/it/title/tt1740707/?ref_=ext_shr_lnk
source_unendliche_geschichte,LiteraryWork,,Die unendliche Geschichte,person_ende,1979,1979,de,,,int_sphinx_ende;int_dragon_ende,
source_vase,VisualArtwork,,The Siren Vase,person_siren_painter,-479/-469,c. 480 – 470 BCE,,source_odissea_omero,source_odissea_omero,int_siren_vase,https://www.britishmuseum.org/collection/object/G_1843-1103-31
