citation_id,interpretation_id,source_id,sequence_identifier,language,passage
citation_dante_inferno_1,int_minotaur_dante,source_dante_inferno,XII,it,"e ’n su la punta de la rotta lacca / l’infamia di Creti era distesa / che fu concetta ne la falsa vacca; / e quando vide noi, sé stesso morse, / sì come quei cui l’ira dentro fiacca."
citation_ovid_met_1,int_minotaur_ovidius,source_ovidius_metamorphoses,VIII,la,"“L’essere che era il disonore della stirpe era già divenuto adulto e il turpe / adulterio della madre diveniva evidente a causa della singolarità del mostro biforme"""
citation_ovid_met_2,int_minotaur_ovidius,source_ovidius_metamorphoses,VIII,la,il mostro mezzo uomo e mezzo toro
citation_plinio_1,int_sphinx_plinio,source_naturalis_historia,Liber XXXVI,la,"Prima che delle piramidi, bisogna parlare della Sfinge, monumento che meriterebbe addirittura una trattazione più ampia. Ma su di essa c'è silenzio: gli abitanti la considerano una divinità. Ritengono che vi sia sepolto il re Harmais e vogliono credere che sembri costruita con materiale portato colà. È invece scolpita nella pietra viva, ed il volto rosso del mostro è oggetto di culto; la circonferenza di esso all'altezza della fornte raggiunge i 102 piedi; la lunghezza dell'intera statua è di 143 piedi e l'altezza del ventre fino al vertice dell'aspide che sta sul capo è 61 piedi e mezzo."
citation_flaubert_1,int_sphinx_flaubert,source_tentazione_antonio,Libro VII,fr,"Di fronte, sull’altra sponda del Nilo, ecco apparire la Sfinge. Allunga le zampe, scuote le bende dalla sua fronte, e si accuccia sul ventre. Saltando, volando, sputando fuoco dalle narici [...]."
citation_apollodoro_1,int_sphinx_apollodoro,source_mito_edipo,III,grc,"Era infatti inviò la Sfinge, che era (nata) dalla madre Echidna e dal padre Tifone, ed aveva volto di donna, ma petto e parte inferiore del corpo e coda di leone e ali di uccello. Ed avendo appreso un indovinello dalle Muse stava seduta sul monte Ficio e lo proponeva ai Tebani. E l'indovinello era: cos'è che, (pur) avendo una sola voce, diventa quadrupede e bipede e tripede? Ed essendoci per i Tebani un oracolo (secondo cui) allora si sarebbero liberati della Sfinge, quando avessero risolto l'indovinello, radunandosi molte volte insieme cercavano che cosa fosse ciò che veniva detto, ma poiché non trovavano, afferrando uno lo divorava. Ed essendo morti molti, e alla fine Emone, il figlio di Creonte, Creonte promette con un bando di dare sia il regno sia la moglie di Laio a colui che avesse risolto l'indovinello. (Biblioteca, III 52-54, Apollodoro)"
citation_maier_1,int_sphinx_maier,source_atalanta_fugiens,Emblem 39,la,"For Sphinx is a certain kind of monster most obscure to the Thebans, propounding riddles, nor only to them, but as before to the Egyptians, so after all others to those that aspire to art, and watches in the Philosophers books as before the gates of Thebes; if any man can pass by the monster, he suffers no evil by him, but he that through presumption of mind or wit endeavors to resolve his riddles, and cannot perform, acquires his own destruction, that is, grief to the heart, and damage to his affairs by error in this work."
citation_rowling_1,int_sphinx_rowling,source_harry_potter_book_4,Chapter 31,en,"It was a sphinx. It had the body of an over-large lion: great clawed paws and a long yellowish tail ending in a brown tuft. Its head, however, was that of a woman. She turned her long, almond-shaped eyes upon Harry as he approached. He raised his wand, hesitating. She was not crouching as if to spring, but pacing from side to side of the path, blocking his progress. Then she spoke, in a deep, hoarse voice."
citation_ende_1,int_sphinx_ende,source_unendliche_geschichte,Chapter 6,de,"And beside this pillar, as Atreyu now saw, an enormous sphinx was sitting motionless in the moonlight. The forepaws, on which she was propped, were those of a lion, the hindquarters were those of a bull; on her back she bore the wings of an eagle, and her face was that of a human woman -- in form at any rate, for the expression was far from human. I was hard to tell whether this face was smiling or whether it expressed deep grief or utter indifference. After looking at it for some time, Atreyu seemed to see abysmal wickedness and cruelty, but a moment later he had to correct his impression, for he found only unruffled calm. [...] Then the right-hand pillar came into Atreyu's view. And there, in the same posture, sat a second sphinx. The enormous body shimmered like liquid silver in the moonlight. She seemed to be staring fixedly at the first, just as the first was gazing fixedly at her."
